Credit liabilities of households 1 2 3,Jan-17,Symbol,Feb-17,Symbol,Mar-17,Symbol,Apr-17,Symbol,May-17,Symbol,Jun-17,Symbol,Jul-17,Symbol,Aug-17,Symbol,Sep-17,Symbol,Oct-17,Symbol,Nov-17,Symbol,Dec-17,Symbol,Jan-18,Symbol,Feb-18,Symbol,Mar-18,Symbol,Apr-18,Symbol,May-18,Symbol,Jun-18,Symbol,Jul-18,Symbol,Aug-18,Symbol,Sep-18,Symbol,Oct-18,Symbol,Nov-18,Symbol,Dec-18,Symbol,Jan-19,Symbol,Feb-19,Symbol,Mar-19,Symbol,Apr-19,Symbol,May-19,Symbol,Jun-19,Symbol,Jul-19,Symbol,Aug-19,Symbol,Sep-19,Symbol,Oct-19,Symbol,Nov-19,Symbol,Dec-19,Symbol,Jan-20,Symbol,Feb-20,Symbol,Mar-20,Symbol,Apr-20,Symbol,May-20,Symbol,Jun-20,Symbol,Jul-20,Symbol,Aug-20,Symbol,Sep-20,Symbol,Oct-20,Symbol,Nov-20,Symbol,Dec-20,Symbol,Jan-21,Symbol,Feb-21,Symbol,Mar-21,Symbol,Apr-21,Symbol,May-21,Symbol,Jun-21,Symbol,Jul-21,Symbol,Aug-21,Symbol,Sep-21,Symbol,Oct-21,Symbol,Nov-21,Symbol,Dec-21,Symbol,Jan-22,Symbol,Feb-22,Symbol,Mar-22,Symbol,Apr-22,Symbol,May-22,Symbol,Jun-22,Symbol,Jul-22,Symbol,Aug-22,Symbol,Sep-22,Symbol,Oct-22,Symbol,Nov-22,Symbol,Dec-22,Symbol,Jan-23,Symbol
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-banks 1,"189,579",,"191,817",,"194,448",,"195,515",,"196,668",,"197,400",,"198,703",,"200,232",,"201,185",,"201,489",,"202,102",,"202,065",,"203,692",,"205,692",,"207,330",,"208,623",,"209,598",,"210,876",,"211,865",,"212,727",,"213,556",,"213,857",,"214,127",,"215,245",,"214,951",,"214,749",,"214,836",,"215,751",,"216,321",,"216,508",,"216,690",,"216,422",,"216,326",,"216,819",,"217,110",,"217,485",,"215,369",,"213,430",,"211,605",,"212,020",,"211,726",,"212,243",,"211,979",,"211,794",,"211,552",,"211,348",,"211,183",,"211,202",,"210,135",,"209,159",,"208,320",,"207,630",,"207,253",,"206,476",,"206,830",,"207,292",,"207,760",,"207,324",,"206,812",,"206,227",,"206,765",,"207,040",,"207,553",,"207,528",,"207,398",,"207,330",,"207,411",,"207,769",,"207,880",,"208,129",,"208,234",,"207,988",,"208,528",
Government 1 5,"27,065",,"27,201",,"27,322",,"27,493",,"27,642",,"27,792",,"27,932",,"28,072",,"28,227",,"28,242",,"28,278",,"28,327",,"28,485",,"28,660",,"28,827",,"28,970",,"29,110",,"29,261",,"29,463",,"29,664",,"29,875",,"29,942",,"30,025",,"30,115",,"30,259",,"30,414",,"30,559",,"30,619",,"30,686",,"30,773",,"30,940",,"31,104",,"31,266",,"31,453",,"31,644",,"31,838",,"31,851",,"31,892",,"31,900",,"34,182",,"34,817",,"35,255",,"35,354",,"35,471",,"35,581",,"35,776",,"35,959",,"36,481",,"36,701",,"36,900",,"37,064",,"37,262",,"37,477",,"37,719",,"37,927",,"38,083",,"38,221",,"38,244",,"38,244",,"38,261",,"38,231",,"38,190",,"38,191",,"38,196",,"38,206",,"38,221",,"38,323",,"38,436",,"38,531",,"38,571",,"38,611",,"38,631",,"38,767",
Non-bank financial corporations 1 5,"151,534",,"153,358",,"155,560",,"156,384",,"157,314",,"157,824",,"159,145",,"160,691",,"161,642",,"161,807",,"162,263",,"162,053",,"163,541",,"165,383",,"166,873",,"167,989",,"168,788",,"169,881",,"170,668",,"171,329",,"171,947",,"172,158",,"172,322",,"173,327",,"172,796",,"172,355",,"172,204",,"172,997",,"173,436",,"173,474",,"173,461",,"173,001",,"172,716",,"173,021",,"173,119",,"173,299",,"171,675",,"170,166",,"168,838",,"167,180",,"166,466",,"166,754",,"166,366",,"166,040",,"165,664",,"165,414",,"165,210",,"164,856",,"163,579",,"162,414",,"161,421",,"160,543",,"159,960",,"158,951",,"159,153",,"159,514",,"159,898",,"159,465",,"158,979",,"158,403",,"158,898",,"159,148",,"159,587",,"159,588",,"159,479",,"159,427",,"159,352",,"159,544",,"159,508",,"159,704",,"159,757",,"159,478",,"159,888",
Credit unions and caisse populaires 1 5,"68,014",,"68,171",,"68,652",,"68,853",,"69,275",,"69,346",,"69,679",,"70,237",,"70,303",,"70,764",,"71,498",,"71,569",,"71,996",,"72,804",,"73,158",,"73,876",,"74,345",,"75,137",,"75,408",,"75,661",,"75,987",,"76,104",,"76,080",,"77,013",,"76,889",,"76,774",,"76,945",,"77,576",,"77,808",,"77,654",,"77,989",,"78,050",,"78,300",,"78,499",,"78,532",,"78,747",,"78,485",,"78,434",,"78,595",,"76,939",,"76,138",,"76,308",,"76,093",,"75,980",,"75,918",,"75,676",,"75,547",,"75,322",,"75,160",,"75,049",,"75,177",,"75,135",,"75,359",,"75,098",,"74,928",,"74,910",,"74,951",,"74,902",,"74,797",,"74,600",,"74,854",,"75,055",,"75,416",,"75,764",,"75,998",,"76,289",,"76,232",,"76,422",,"76,343",,"76,570",,"76,653",,"76,358",,"76,425",
Trust companies and mortgage loan companies 1 5,685,,740,,801,,834,,858,,861,,799,,797,,803,,812,,821,,816,,872,,896,,967,,974,,980,,989,,990,,"1,000",,"1,004",,981,,"1,060",,"1,051",,"1,079",,"1,119",,"1,164",,"1,201",,"1,236",,"1,255",,"1,261",,"1,211",,"1,215",,"1,225",,"1,238",,"1,239",,"1,090",,965,,819,,825,,826,,836,,786,,763,,690,,688,,662,,643,,625,,611,,585,,562,,521,,493,,485,,481,,478,,478,,479,,481,,489,,494,,502,,507,,522,,532,,545,,553,,569,,592,,614,,639,,694,
Financial vehicle corporations engaged in securitization 1 6,"12,626",,"12,607",,"12,590",,"12,430",,"12,270",,"12,112",,"12,453",,"12,784",,"13,087",,"12,372",,"11,647",,"10,845",,"10,935",,"11,004",,"11,087",,"10,935",,"10,773",,"10,616",,"10,878",,"11,142",,"11,401",,"11,303",,"11,208",,"11,109",,"11,007",,"10,915",,"10,812",,"10,994",,"11,180",,"11,360",,"11,207",,"11,053",,"10,905",,"11,125",,"11,339",,"11,559",,"11,533",,"11,389",,"11,208",,"11,143",,"11,063",,"10,984",,"10,761",,"10,538",,"10,322",,"10,667",,"11,001",,"11,346",,"11,026",,"10,737",,"10,417",,"10,268",,"10,115",,"9,966",,"10,596",,"11,227",,"11,837",,"11,978",,"12,114",,"12,255",,"12,501",,"12,722",,"12,968",,"12,934",,"12,900",,"12,866",,"13,065",,"13,264",,"13,456",,"13,467",,"13,477",,"13,488",,"13,457",
Other financial corporations n.e.i. 1 7,"70,209",,"71,840",,"73,517",,"74,267",,"74,911",,"75,505",,"76,214",,"76,873",,"77,449",,"77,859",,"78,297",,"78,823",,"79,738",,"80,679",,"81,661",,"82,204",,"82,690",,"83,139",,"83,392",,"83,526",,"83,555",,"83,770",,"83,974",,"84,154",,"83,821",,"83,547",,"83,283",,"83,226",,"83,212",,"83,205",,"83,004",,"82,687",,"82,296",,"82,172",,"82,010",,"81,754",,"80,567",,"79,378",,"78,216",,"78,273",,"78,439",,"78,626",,"78,726",,"78,759",,"78,734",,"78,383",,"78,000",,"77,545",,"76,768",,"76,017",,"75,242",,"74,578",,"73,965",,"73,394",,"73,144",,"72,896",,"72,632",,"72,107",,"71,589",,"71,067",,"71,054",,"70,877",,"70,701",,"70,383",,"70,059",,"69,740",,"69,510",,"69,305",,"69,140",,"69,075",,"69,013",,"68,993",,"69,312",
Other lenders n.e.i. 1 8,"10,980",,"11,258",,"11,566",,"11,638",,"11,712",,"11,784",,"11,626",,"11,469",,"11,316",,"11,440",,"11,561",,"11,685",,"11,666",,"11,649",,"11,630",,"11,664",,"11,700",,"11,734",,"11,734",,"11,734",,"11,734",,"11,757",,"11,780",,"11,803",,"11,896",,"11,980",,"12,073",,"12,135",,"12,199",,"12,261",,"12,289",,"12,317",,"12,344",,"12,345",,"12,347",,"12,348",,"11,843",,"11,372",,"10,867",,"10,658",,"10,443",,"10,234",,"10,259",,"10,283",,"10,307",,"10,158",,"10,014",,"9,865",,"9,855",,"9,845",,"9,835",,"9,825",,"9,816",,"9,806",,"9,750",,"9,695",,"9,641",,"9,615",,"9,589",,"9,563",,"9,636",,"9,702",,"9,775",,"9,744",,"9,713",,"9,682",,"9,736",,"9,789",,"9,841",,"9,854",,"9,866",,"9,879",,"9,873",
Mortgage loans,"1,432,849",,"1,439,979",,"1,447,086",,"1,455,190",,"1,461,680",,"1,468,889",,"1,476,079",,"1,481,708",,"1,487,270",,"1,494,295",,"1,501,109",,"1,507,659",,"1,512,922",,"1,519,097",,"1,524,391",,"1,527,720",,"1,530,482",,"1,534,725",,"1,539,832",,"1,544,356",,"1,549,204",,"1,554,237",,"1,559,377",,"1,567,562",,"1,571,707",,"1,576,573",,"1,583,590",,"1,587,873",,"1,595,559",,"1,600,358",,"1,607,573",,"1,616,023",,"1,623,644",,"1,632,221",,"1,638,665",,"1,647,107",,"1,656,739",,"1,666,888",,"1,677,284",,"1,686,339",,"1,691,502",,"1,696,979",,"1,704,941",,"1,715,464",,"1,729,105",,"1,744,258",,"1,757,325",,"1,768,374",,"1,781,402",,"1,791,782",,"1,808,014",,"1,826,043",,"1,840,971",,"1,861,328",,"1,877,098",,"1,892,556",,"1,905,818",,"1,921,586",,"1,939,642",,"1,954,227",,"1,970,372",,"1,985,553",,"2,000,108",,"2,013,305",,"2,028,095",,"2,041,327",,"2,052,396",,"2,062,106",,"2,070,852",,"2,078,265",,"2,084,787",,"2,091,714",,"2,097,358",
Residential mortgages 9,"1,422,011",,"1,429,006",,"1,435,983",,"1,444,112",,"1,450,608",,"1,457,841",,"1,465,009",,"1,470,624",,"1,476,172",,"1,483,246",,"1,490,105",,"1,496,700",,"1,502,217",,"1,508,628",,"1,514,175",,"1,517,505",,"1,520,280",,"1,524,542",,"1,529,558",,"1,534,017",,"1,538,787",,"1,543,780",,"1,548,780",,"1,556,915",,"1,561,010",,"1,565,753",,"1,572,714",,"1,577,149",,"1,585,061",,"1,589,922",,"1,597,149",,"1,605,601",,"1,613,230",,"1,621,645",,"1,627,918",,"1,636,166",,"1,645,814",,"1,656,124",,"1,666,544",,"1,675,678",,"1,680,864",,"1,686,369",,"1,694,201",,"1,704,785",,"1,718,446",,"1,733,593",,"1,746,683",,"1,757,721",,"1,770,742",,"1,781,098",,"1,797,313",,"1,815,275",,"1,830,154",,"1,850,373",,"1,866,178",,"1,881,628",,"1,894,828",,"1,910,689",,"1,928,777",,"1,943,465",,"1,959,657",,"1,974,883",,"1,989,502",,"2,002,696",,"2,017,478",,"2,030,731",,"2,041,802",,"2,051,543",,"2,060,326",,"2,067,802",,"2,074,380",,"2,081,403",,"2,087,075",
