Credit liabilities of households 1 2 3,Jan-17,Symbol,Feb-17,Symbol,Mar-17,Symbol,Apr-17,Symbol,May-17,Symbol,Jun-17,Symbol,Jul-17,Symbol,Aug-17,Symbol,Sep-17,Symbol,Oct-17,Symbol,Nov-17,Symbol,Dec-17,Symbol,Jan-18,Symbol,Feb-18,Symbol,Mar-18,Symbol,Apr-18,Symbol,May-18,Symbol,Jun-18,Symbol,Jul-18,Symbol,Aug-18,Symbol,Sep-18,Symbol,Oct-18,Symbol,Nov-18,Symbol,Dec-18,Symbol,Jan-19,Symbol,Feb-19,Symbol,Mar-19,Symbol,Apr-19,Symbol,May-19,Symbol,Jun-19,Symbol,Jul-19,Symbol,Aug-19,Symbol,Sep-19,Symbol,Oct-19,Symbol,Nov-19,Symbol,Dec-19,Symbol,Jan-20,Symbol,Feb-20,Symbol,Mar-20,Symbol,Apr-20,Symbol,May-20,Symbol,Jun-20,Symbol,Jul-20,Symbol,Aug-20,Symbol,Sep-20,Symbol,Oct-20,Symbol,Nov-20,Symbol,Dec-20,Symbol,Jan-21,Symbol,Feb-21,Symbol,Mar-21,Symbol,Apr-21,Symbol,May-21,Symbol,Jun-21,Symbol,Jul-21,Symbol,Aug-21,Symbol,Sep-21,Symbol,Oct-21,Symbol,Nov-21,Symbol,Dec-21,Symbol,Jan-22,Symbol,Feb-22,Symbol,Mar-22,Symbol,Apr-22,Symbol,May-22,Symbol,Jun-22,Symbol,Jul-22,Symbol,Aug-22,Symbol,Sep-22,Symbol,Oct-22,Symbol,Nov-22,Symbol,Dec-22,Symbol,Jan-23,Symbol
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chartered banks 9 10,"1,060,555",,"1,066,286",,"1,072,315",,"1,078,866",,"1,084,450",,"1,090,924",,"1,097,489",,"1,102,581",,"1,107,678",,"1,113,315",,"1,118,764",,"1,123,977",,"1,127,841",,"1,132,680",,"1,136,447",,"1,139,673",,"1,142,095",,"1,145,908",,"1,148,644",,"1,151,137",,"1,154,447",,"1,157,918",,"1,162,284",,"1,169,150",,"1,172,577",,"1,175,781",,"1,181,180",,"1,185,171",,"1,192,194",,"1,196,937",,"1,203,446",,"1,211,011",,"1,217,860",,"1,225,048",,"1,230,410",,"1,237,518",,"1,245,301",,"1,253,566",,"1,261,565",,"1,270,485",,"1,275,279",,"1,280,142",,"1,287,487",,"1,297,946",,"1,310,556",,"1,325,602",,"1,338,520",,"1,349,302",,"1,361,316",,"1,370,920",,"1,385,456",,"1,401,003",,"1,414,191",,"1,431,594",,"1,445,588",,"1,459,156",,"1,471,134",,"1,483,207",,"1,497,214",,"1,508,017",,"1,522,428",,"1,535,541",,"1,547,909",,"1,558,073",,"1,569,073",,"1,578,499",,"1,586,202",,"1,592,727",,"1,599,069",,"1,604,282",,"1,609,130",,"1,614,256",,"1,619,606",
Non-banks 9 10,"361,456",,"362,720",,"363,668",,"365,246",,"366,158",,"366,917",,"367,520",,"368,043",,"368,494",,"369,931",,"371,341",,"372,723",,"374,376",,"375,948",,"377,728",,"377,832",,"378,185",,"378,634",,"380,914",,"382,880",,"384,340",,"385,862",,"386,496",,"387,765",,"388,433",,"389,972",,"391,534",,"391,978",,"392,867",,"392,985",,"393,703",,"394,590",,"395,370",,"396,597",,"397,508",,"398,648",,"400,513",,"402,558",,"404,979",,"405,193",,"405,585",,"406,227",,"406,714",,"406,839",,"407,890",,"407,991",,"408,163",,"408,419",,"409,426",,"410,178",,"411,857",,"414,272",,"415,963",,"418,779",,"420,590",,"422,472",,"423,694",,"427,482",,"431,563",,"435,448",,"437,229",,"439,342",,"441,593",,"444,623",,"448,405",,"452,232",,"455,600",,"458,816",,"461,257",,"463,520",,"465,250",,"467,147",,"467,469",
Government 9 10,365,,365,,366,,373,,380,,387,,393,,399,,404,,409,,415,,421,,424,,430,,436,,437,,436,,434,,435,,437,,438,,440,,442,,443,,444,,446,,447,,448,,449,,450,,450,,451,,451,,452,,453,,454,,452,,454,,456,,453,,448,,444,,440,,437,,434,,431,,427,,422,,419,,415,,413,,412,,411,,411,,411,,410,,408,,407,,406,,405,,400,,396,,391,,391,,392,,392,,389,,386,,382,,379,,377,,374,,374,
Non-bank financial corporations 9 10 11,"356,248",,"357,510",,"358,454",,"359,981",,"360,841",,"361,549",,"362,131",,"362,633",,"363,065",,"364,463",,"365,834",,"367,176",,"368,723",,"370,197",,"371,868",,"372,014",,"372,412",,"372,906",,"375,097",,"376,972",,"378,346",,"379,804",,"380,375",,"381,581",,"382,224",,"383,739",,"385,276",,"385,853",,"386,878",,"387,129",,"387,855",,"388,749",,"389,537",,"390,755",,"391,657",,"392,788",,"394,398",,"396,201",,"398,363",,"398,532",,"398,878",,"399,476",,"399,939",,"400,039",,"401,066",,"401,206",,"401,417",,"401,714",,"402,639",,"403,317",,"404,913",,"407,216",,"408,790",,"411,493",,"413,290",,"415,159",,"416,370",,"419,972",,"423,874",,"427,573",,"429,347",,"431,452",,"433,696",,"436,648",,"440,348",,"444,097",,"447,365",,"450,481",,"452,826",,"455,088",,"456,815",,"458,711",,"459,036",
Credit unions and caisse populaires 9 10,"184,378",,"184,763",,"185,302",,"186,032",,"186,930",,"187,869",,"188,736",,"189,801",,"190,697",,"191,937",,"193,297",,"194,569",,"195,752",,"197,130",,"198,340",,"199,461",,"200,684",,"201,989",,"203,144",,"204,254",,"205,339",,"206,401",,"207,030",,"208,094",,"209,397",,"210,721",,"211,968",,"212,605",,"213,194",,"213,475",,"214,225",,"215,153",,"216,211",,"217,463",,"218,693",,"220,063",,"220,888",,"221,931",,"223,029",,"223,562",,"224,090",,"224,853",,"225,491",,"226,341",,"227,304",,"228,109",,"229,179",,"230,217",,"231,606",,"232,907",,"234,705",,"237,281",,"239,125",,"241,720",,"243,250",,"244,981",,"246,631",,"248,294",,"250,217",,"251,723",,"253,411",,"255,022",,"256,645",,"258,275",,"260,753",,"263,347",,"265,277",,"267,143",,"268,724",,"270,239",,"271,334",,"272,671",,"273,072",
Trust companies and mortgage loan companies 9 10,"20,907",,"21,356",,"21,207",,"21,537",,"21,198",,"20,814",,"20,444",,"19,940",,"19,570",,"19,492",,"19,367",,"19,315",,"19,497",,"19,411",,"19,417",,"19,253",,"18,745",,"18,500",,"18,941",,"19,091",,"18,970",,"19,359",,"19,271",,"19,377",,"18,988",,"19,366",,"19,782",,"19,833",,"20,269",,"20,192",,"20,168",,"20,320",,"20,243",,"20,445",,"20,554",,"20,612",,"20,851",,"20,917",,"20,856",,"21,000",,"21,089",,"21,070",,"21,642",,"21,819",,"21,901",,"22,055",,"22,094",,"22,114",,"22,301",,"22,166",,"22,226",,"22,496",,"22,485",,"22,842",,"23,347",,"23,814",,"23,895",,"24,287",,"24,875",,"25,433",,"25,965",,"26,311",,"26,601",,"27,484",,"28,016",,"28,486",,"28,642",,"28,781",,"28,658",,"28,958",,"29,287",,"29,369",,"29,550",
Financial vehicle corporations engaged in securitization 6 9 10,"22,021",,"21,997",,"22,189",,"22,100",,"22,003",,"21,713",,"21,338",,"20,815",,"20,434",,"20,313",,"20,273",,"20,074",,"20,121",,"20,011",,"20,142",,"19,296",,"18,742",,"18,019",,"17,844",,"17,701",,"17,527",,"17,466",,"17,578",,"17,564",,"17,203",,"16,794",,"16,511",,"16,259",,"16,248",,"16,284",,"16,265",,"16,101",,"16,061",,"15,887",,"15,632",,"15,403",,"15,455",,"15,545",,"16,118",,"15,438",,"15,092",,"14,909",,"14,743",,"14,463",,"15,183",,"15,092",,"15,002",,"14,960",,"15,194",,"15,389",,"15,959",,"15,173",,"14,741",,"14,402",,"14,090",,"13,780",,"13,400",,"13,376",,"13,369",,"13,443",,"13,352",,"13,291",,"13,402",,"13,807",,"14,479",,"15,210",,"15,382",,"15,589",,"15,721",,"15,786",,"15,846",,"15,931",,"15,965",
Of which: off balance-sheet NHA-MBS 9 10 12,"9,191",,"8,935",,"8,743",,"8,719",,"8,692",,"8,517",,"8,422",,"8,310",,"8,238",,"8,179",,"8,066",,"7,964",,"8,907",,"9,828",,"10,798",,"10,603",,"10,487",,"10,178",,"10,102",,"10,100",,"10,092",,"10,121",,"10,180",,"10,211",,"9,854",,"9,523",,"9,119",,"8,989",,"8,811",,"8,613",,"8,669",,"8,678",,"8,801",,"8,461",,"8,046",,"7,635",,"7,904",,"8,201",,"8,575",,"8,252",,"7,879",,"7,574",,"6,916",,"6,972",,"7,055",,"6,908",,"6,747",,"6,572",,"7,114",,"7,646",,"8,227",,"7,535",,"6,820",,"6,114",,"5,983",,"5,843",,"5,682",,"5,508",,"5,346",,"5,164",,"5,151",,"5,136",,"5,128",,"5,136",,"5,155",,"5,172",,"5,260",,"5,337",,"5,406",,"5,401",,"5,400",,"5,391",,"5,396",
Other financial corporations n.e.i. 7 9 10,"128,942",,"129,394",,"129,756",,"130,312",,"130,710",,"131,153",,"131,613",,"132,077",,"132,364",,"132,721",,"132,897",,"133,218",,"133,353",,"133,645",,"133,969",,"134,004",,"134,241",,"134,398",,"135,168",,"135,926",,"136,510",,"136,578",,"136,496",,"136,546",,"136,636",,"136,858",,"137,015",,"137,156",,"137,167",,"137,178",,"137,197",,"137,175",,"137,022",,"136,960",,"136,778",,"136,710",,"137,204",,"137,808",,"138,360",,"138,532",,"138,607",,"138,644",,"138,063",,"137,416",,"136,678",,"135,950",,"135,142",,"134,423",,"133,538",,"132,855",,"132,023",,"132,266",,"132,439",,"132,529",,"132,603",,"132,584",,"132,444",,"134,015",,"135,413",,"136,974",,"136,619",,"136,828",,"137,048",,"137,082",,"137,100",,"137,054",,"138,064",,"138,968",,"139,723",,"140,105",,"140,348",,"140,740",,"140,449",
Other lenders n.e.i. 8 9 10,"4,843",,"4,845",,"4,848",,"4,892",,"4,937",,"4,981",,"4,996",,"5,011",,"5,025",,"5,059",,"5,092",,"5,126",,"5,229",,"5,321",,"5,424",,"5,381",,"5,337",,"5,294",,"5,382",,"5,471",,"5,556",,"5,618",,"5,679",,"5,741",,"5,765",,"5,787",,"5,811",,"5,677",,"5,540",,"5,406",,"5,398",,"5,390",,"5,382",,"5,390",,"5,398",,"5,406",,"5,663",,"5,903",,"6,160",,"6,208",,"6,259",,"6,307",,"6,335",,"6,363",,"6,390",,"6,354",,"6,319",,"6,283",,"6,368",,"6,446",,"6,531",,"6,644",,"6,762",,"6,875",,"6,889",,"6,903",,"6,916",,"7,103",,"7,283",,"7,470",,"7,482",,"7,494",,"7,506",,"7,584",,"7,665",,"7,743",,"7,846",,"7,949",,"8,049",,"8,053",,"8,058",,"8,062",,"8,059",
Non-residential mortgages 9,"10,838",,"10,973",,"11,103",,"11,078",,"11,072",,"11,048",,"11,070",,"11,084",,"11,098",,"11,049",,"11,004",,"10,959",,"10,705",,"10,469",,"10,216",,"10,215",,"10,202",,"10,183",,"10,274",,"10,339",,"10,417",,"10,457",,"10,597",,"10,647",,"10,697",,"10,820",,"10,876",,"10,724",,"10,498",,"10,436",,"10,424",,"10,422",,"10,414",,"10,576",,"10,747",,"10,941",,"10,925",,"10,764",,"10,740",,"10,661",,"10,638",,"10,610",,"10,740",,"10,679",,"10,659",,"10,665",,"10,642",,"10,653",,"10,660",,"10,684",,"10,701",,"10,768",,"10,817",,"10,955",,"10,920",,"10,928",,"10,990",,"10,897",,"10,865",,"10,762",,"10,715",,"10,670",,"10,606",,"10,609",,"10,617",,"10,596",,"10,594",,"10,563",,"10,526",,"10,463",,"10,407",,"10,311",,"10,283",
Chartered banks 9 13,"3,247",,"3,319",,"3,381",,"3,361",,"3,348",,"3,331",,"3,345",,"3,346",,"3,352",,"3,359",,"3,367",,"3,379",,"3,291",,"3,209",,"3,121",,"3,132",,"3,127",,"3,120",,"3,151",,"3,159",,"3,180",,"3,162",,"3,282",,"3,265",,"3,260",,"3,327",,"3,316",,"3,253",,"3,126",,"3,148",,"3,142",,"3,156",,"3,156",,"3,208",,"3,278",,"3,349",,"3,342",,"3,218",,"3,214",,"3,166",,"3,175",,"3,175",,"3,278",,"3,223",,"3,204",,"3,207",,"3,192",,"3,203",,"3,208",,"3,226",,"3,233",,"3,246",,"3,247",,"3,301",,"3,260",,"3,260",,"3,298",,"3,261",,"3,268",,"3,223",,"3,229",,"3,228",,"3,208",,"3,204",,"3,213",,"3,191",,"3,188",,"3,166",,"3,132",,"3,109",,"3,093",,"3,046",,"3,036",
Non-banks 9 13,"7,591",,"7,654",,"7,722",,"7,717",,"7,724",,"7,717",,"7,725",,"7,738",,"7,746",,"7,690",,"7,637",,"7,580",,"7,414",,"7,260",,"7,095",,"7,083",,"7,075",,"7,063",,"7,123",,"7,180",,"7,237",,"7,295",,"7,315",,"7,382",,"7,437",,"7,493",,"7,560",,"7,471",,"7,372",,"7,288",,"7,282",,"7,266",,"7,258",,"7,368",,"7,469",,"7,592",,"7,583",,"7,546",,"7,526",,"7,495",,"7,463",,"7,435",,"7,462",,"7,456",,"7,455",,"7,458",,"7,450",,"7,450",,"7,452",,"7,458",,"7,468",,"7,522",,"7,570",,"7,654",,"7,660",,"7,668",,"7,692",,"7,636",,"7,597",,"7,539",,"7,486",,"7,442",,"7,398",,"7,405",,"7,404",,"7,405",,"7,406",,"7,397",,"7,394",,"7,354",,"7,314",,"7,265",,"7,247",
Government 9 13,385,,384,,385,,392,,400,,408,,411,,413,,415,,416,,419,,421,,423,,426,,428,,432,,436,,440,,444,,448,,451,,456,,461,,467,,471,,474,,478,,469,,458,,448,,451,,454,,457,,460,,463,,466,,493,,475,,474,,471,,477,,482,,498,,491,,489,,492,,493,,497,,499,,502,,504,,506,,506,,514,,511,,514,,523,,525,,534,,534,,539,,544,,545,,549,,555,,556,,563,,567,,568,,573,,579,,579,,577,
Non-bank financial corporations 9 13,"6,331",,"6,391",,"6,454",,"6,441",,"6,438",,"6,422",,"6,425",,"6,434",,"6,438",,"6,381",,"6,324",,"6,265",,"6,098",,"5,943",,"5,777",,"5,763",,"5,752",,"5,738",,"5,791",,"5,841",,"5,892",,"5,943",,"5,956",,"6,015",,"6,065",,"6,116",,"6,178",,"6,103",,"6,021",,"5,952",,"5,944",,"5,925",,"5,915",,"6,020",,"6,116",,"6,234",,"6,191",,"6,164",,"6,138",,"6,106",,"6,064",,"6,027",,"6,033",,"6,030",,"6,026",,"6,023",,"6,012",,"6,005",,"6,004",,"6,005",,"6,012",,"6,061",,"6,107",,"6,180",,"6,189",,"6,195",,"6,210",,"6,150",,"6,100",,"6,040",,"5,983",,"5,934",,"5,890",,"5,892",,"5,885",,"5,884",,"5,877",,"5,863",,"5,858",,"5,814",,"5,770",,"5,722",,"5,707",
Credit unions and caisse populaires 9 13,"1,997",,"2,035",,"2,072",,"2,069",,"2,075",,"2,068",,"2,083",,"2,097",,"2,106",,"2,097",,"2,082",,"2,067",,"2,016",,"1,966",,"1,919",,"1,916",,"1,918",,"1,916",,"1,937",,"1,952",,"1,969",,"1,987",,"1,970",,"1,998",,"2,009",,"2,024",,"2,045",,"2,020",,"1,988",,"1,967",,"1,968",,"1,961",,"1,962",,"2,000",,"2,032",,"2,082",,"2,052",,"2,035",,"2,022",,"2,012",,"1,996",,"1,981",,"1,986",,"1,982",,"1,979",,"1,984",,"1,982",,"1,982",,"1,984",,"1,988",,"1,998",,"2,009",,"2,014",,"2,047",,"2,048",,"2,047",,"2,055",,"2,031",,"2,016",,"1,994",,"1,987",,"1,984",,"1,990",,"2,001",,"2,005",,"2,011",,"2,016",,"2,007",,"2,015",,"2,005",,"1,995",,"1,981",,"1,983",
Trust companies and mortgage loan companies 9 13,25,,22,,19,,19,,19,,18,,14,,12,,11,,11,,11,,11,,11,,12,,12,,12,,12,,12,,12,,13,,13,,13,,13,,13,,12,,12,,13,,13,,14,,14,,14,,14,,14,,14,,14,,15,,15,,15,,15,,15,,13,,13,,13,,13,,13,,12,,11,,11,,11,,11,,11,,9,,9,,9,,9,,8,,8,,8,,8,,7,,7,,7,,7,,7,,6,,8,,6,,11,,8,,8,,8,,8,,7,
Financial vehicle corporations engaged in securitization 6 9 13,157,,145,,133,,120,,108,,97,,91,,89,,87,,89,,95,,101,,100,,97,,93,,93,,92,,91,,94,,100,,106,,108,,107,,107,,108,,110,,111,,113,,117,,121,,122,,120,,118,,119,,119,,120,,117,,115,,112,,110,,108,,106,,106,,105,,103,,99,,95,,91,,91,,91,,91,,91,,90,,90,,89,,88,,87,,86,,85,,83,,82,,81,,80,,79,,78,,77,,76,,76,,75,,74,,73,,72,,72,
Other financial corporations n.e.i. 7 9 13,"4,152",,"4,189",,"4,230",,"4,233",,"4,236",,"4,239",,"4,237",,"4,236",,"4,234",,"4,184",,"4,136",,"4,086",,"3,971",,"3,868",,"3,753",,"3,742",,"3,730",,"3,719",,"3,748",,"3,776",,"3,804",,"3,835",,"3,866",,"3,897",,"3,936",,"3,970",,"4,009",,"3,957",,"3,902",,"3,850",,"3,840",,"3,830",,"3,821",,"3,887",,"3,951",,"4,017",,"4,007",,"3,999",,"3,989",,"3,969",,"3,947",,"3,927",,"3,928",,"3,930",,"3,931",,"3,928",,"3,924",,"3,921",,"3,918",,"3,915",,"3,912",,"3,952",,"3,994",,"4,034",,"4,043",,"4,052",,"4,060",,"4,025",,"3,991",,"3,956",,"3,907",,"3,862",,"3,813",,"3,805",,"3,796",,"3,788",,"3,779",,"3,769",,"3,760",,"3,727",,"3,694",,"3,661",,"3,645",
Other lenders n.e.i. 8 9 13,875,,879,,883,,884,,886,,887,,889,,891,,893,,893,,894,,894,,893,,891,,890,,888,,887,,885,,888,,891,,894,,896,,898,,900,,901,,903,,904,,899,,893,,888,,887,,887,,886,,888,,890,,892,,899,,907,,914,,918,,922,,926,,931,,935,,940,,943,,945,,948,,949,,951,,952,,955,,957,,960,,960,,959,,959,,961,,963,,965,,964,,964,,963,,964,,964,,965,,966,,967,,968,,967,,965,,964,,963,
Total credit liabilities of households,"2,100,243",,"2,110,432",,"2,121,607",,"2,131,602",,"2,140,297",,"2,149,182",,"2,158,979",,"2,166,068",,"2,172,534",,"2,180,443",,"2,188,868",,"2,196,475",,"2,202,820",,"2,211,328",,"2,218,667",,"2,223,714",,"2,230,351",,"2,236,779",,"2,243,802",,"2,249,823",,"2,256,778",,"2,263,099",,"2,270,191",,"2,279,113",,"2,282,307",,"2,287,874",,"2,295,966",,"2,302,992",,"2,313,455",,"2,319,559",,"2,327,597",,"2,335,798",,"2,343,481",,"2,352,503",,"2,358,202",,"2,369,056",,"2,378,387",,"2,389,488",,"2,391,349",,"2,388,980",,"2,388,716",,"2,395,176",,"2,403,359",,"2,415,290",,"2,429,253",,"2,444,147",,"2,457,356",,"2,465,075",,"2,475,628",,"2,484,282",,"2,499,108",,"2,518,306",,"2,533,591",,"2,554,799",,"2,570,451",,"2,586,391",,"2,601,707",,"2,617,987",,"2,641,095",,"2,654,963",,"2,672,235",,"2,691,195",,"2,708,464",,"2,726,226",,"2,744,523",,"2,759,333",,"2,770,593",,"2,782,846",,"2,792,861",,"2,802,831",,"2,810,808",,"2,819,140",,"2,825,848",
Of which: real estate secured lending 14,"1,618,083",,"1,625,438",,"1,633,067",,"1,641,553",,"1,648,669",,"1,656,495",,"1,664,373",,"1,669,663",,"1,675,077",,"1,681,656",,"1,688,238",,"1,695,033",,"1,700,146",,"1,706,118",,"1,711,201",,"1,714,299",,"1,716,770",,"1,720,772",,"1,725,906",,"1,730,434",,"1,735,138",,"1,740,346",,"1,745,368",,"1,753,411",,"1,757,578",,"1,761,954",,"1,768,482",,"1,772,374",,"1,779,830",,"1,784,176",,"1,790,973",,"1,798,480",,"1,805,140",,"1,812,842",,"1,818,500",,"1,826,344",,"1,835,690",,"1,845,694",,"1,856,993",,"1,864,167",,"1,867,181",,"1,871,556",,"1,878,765",,"1,888,887",,"1,902,846",,"1,917,024",,"1,929,153",,"1,939,060",,"1,950,100",,"1,959,277",,"1,973,807",,"1,992,470",,"2,007,167",,"2,027,144",,"2,042,408",,"2,057,593",,"2,070,782",,"2,086,817",,"2,105,471",,"2,120,586",,"2,137,346",,"2,153,326",,"2,168,355",,"2,182,452",,"2,198,205",,"2,211,817",,"2,222,846",,"2,232,896",,"2,241,435",,"2,248,708",,"2,255,086",,"2,261,962",,"2,267,827",
Residential mortgages 14,"1,422,011",,"1,429,006",,"1,435,983",,"1,444,112",,"1,450,608",,"1,457,841",,"1,465,009",,"1,470,624",,"1,476,172",,"1,483,246",,"1,490,105",,"1,496,700",,"1,502,217",,"1,508,628",,"1,514,175",,"1,517,505",,"1,520,280",,"1,524,542",,"1,529,558",,"1,534,017",,"1,538,787",,"1,543,780",,"1,548,780",,"1,556,915",,"1,561,010",,"1,565,753",,"1,572,714",,"1,577,149",,"1,585,061",,"1,589,922",,"1,597,149",,"1,605,601",,"1,613,230",,"1,621,645",,"1,627,918",,"1,636,166",,"1,645,814",,"1,656,124",,"1,666,544",,"1,675,678",,"1,680,864",,"1,686,369",,"1,694,201",,"1,704,785",,"1,718,446",,"1,733,593",,"1,746,683",,"1,757,721",,"1,770,742",,"1,781,098",,"1,797,313",,"1,815,275",,"1,830,154",,"1,850,373",,"1,866,178",,"1,881,628",,"1,894,828",,"1,910,689",,"1,928,777",,"1,943,465",,"1,959,657",,"1,974,883",,"1,989,502",,"2,002,696",,"2,017,478",,"2,030,731",,"2,041,802",,"2,051,543",,"2,060,326",,"2,067,802",,"2,074,380",,"2,081,403",,"2,087,075",
Chartered banks 10 14,"1,060,555",,"1,066,286",,"1,072,315",,"1,078,866",,"1,084,450",,"1,090,924",,"1,097,489",,"1,102,581",,"1,107,678",,"1,113,315",,"1,118,764",,"1,123,977",,"1,127,841",,"1,132,680",,"1,136,447",,"1,139,673",,"1,142,095",,"1,145,908",,"1,148,644",,"1,151,137",,"1,154,447",,"1,157,918",,"1,162,284",,"1,169,150",,"1,172,577",,"1,175,781",,"1,181,180",,"1,185,171",,"1,192,194",,"1,196,937",,"1,203,446",,"1,211,011",,"1,217,860",,"1,225,048",,"1,230,410",,"1,237,518",,"1,245,301",,"1,253,566",,"1,261,565",,"1,270,485",,"1,275,279",,"1,280,142",,"1,287,487",,"1,297,946",,"1,310,556",,"1,325,602",,"1,338,520",,"1,349,302",,"1,361,316",,"1,370,920",,"1,385,456",,"1,401,003",,"1,414,191",,"1,431,594",,"1,445,588",,"1,459,156",,"1,471,134",,"1,483,207",,"1,497,214",,"1,508,017",,"1,522,428",,"1,535,541",,"1,547,909",,"1,558,073",,"1,569,073",,"1,578,499",,"1,586,202",,"1,592,727",,"1,599,069",,"1,604,282",,"1,609,130",,"1,614,256",,"1,619,606",
Non-banks 10 14,"361,456",,"362,720",,"363,668",,"365,246",,"366,158",,"366,917",,"367,520",,"368,043",,"368,494",,"369,931",,"371,341",,"372,723",,"374,376",,"375,948",,"377,728",,"377,832",,"378,185",,"378,634",,"380,914",,"382,880",,"384,340",,"385,862",,"386,496",,"387,765",,"388,433",,"389,972",,"391,534",,"391,978",,"392,867",,"392,985",,"393,703",,"394,590",,"395,370",,"396,597",,"397,508",,"398,648",,"400,513",,"402,558",,"404,979",,"405,193",,"405,585",,"406,227",,"406,714",,"406,839",,"407,890",,"407,991",,"408,163",,"408,419",,"409,426",,"410,178",,"411,857",,"414,272",,"415,963",,"418,779",,"420,590",,"422,472",,"423,694",,"427,482",,"431,563",,"435,448",,"437,229",,"439,342",,"441,593",,"444,623",,"448,405",,"452,232",,"455,600",,"458,816",,"461,257",,"463,520",,"465,250",,"467,147",,"467,469",
Non-residential mortgages 14,"10,838",,"10,973",,"11,103",,"11,078",,"11,072",,"11,048",,"11,070",,"11,084",,"11,098",,"11,049",,"11,004",,"10,959",,"10,705",,"10,469",,"10,216",,"10,215",,"10,202",,"10,183",,"10,274",,"10,339",,"10,417",,"10,457",,"10,597",,"10,647",,"10,697",,"10,820",,"10,876",,"10,724",,"10,498",,"10,436",,"10,424",,"10,422",,"10,414",,"10,576",,"10,747",,"10,941",,"10,925",,"10,764",,"10,740",,"10,661",,"10,638",,"10,610",,"10,740",,"10,679",,"10,659",,"10,665",,"10,642",,"10,653",,"10,660",,"10,684",,"10,701",,"10,768",,"10,817",,"10,955",,"10,920",,"10,928",,"10,990",,"10,897",,"10,865",,"10,762",,"10,715",,"10,670",,"10,606",,"10,609",,"10,617",,"10,596",,"10,594",,"10,563",,"10,526",,"10,463",,"10,407",,"10,311",,"10,283",
Chartered banks 13 14,"3,247",,"3,319",,"3,381",,"3,361",,"3,348",,"3,331",,"3,345",,"3,346",,"3,352",,"3,359",,"3,367",,"3,379",,"3,291",,"3,209",,"3,121",,"3,132",,"3,127",,"3,120",,"3,151",,"3,159",,"3,180",,"3,162",,"3,282",,"3,265",,"3,260",,"3,327",,"3,316",,"3,253",,"3,126",,"3,148",,"3,142",,"3,156",,"3,156",,"3,208",,"3,278",,"3,349",,"3,342",,"3,218",,"3,214",,"3,166",,"3,175",,"3,175",,"3,278",,"3,223",,"3,204",,"3,207",,"3,192",,"3,203",,"3,208",,"3,226",,"3,233",,"3,246",,"3,247",,"3,301",,"3,260",,"3,260",,"3,298",,"3,261",,"3,268",,"3,223",,"3,229",,"3,228",,"3,208",,"3,204",,"3,213",,"3,191",,"3,188",,"3,166",,"3,132",,"3,109",,"3,093",,"3,046",,"3,036",
Non-banks 13 14,"7,591",,"7,654",,"7,722",,"7,717",,"7,724",,"7,717",,"7,725",,"7,738",,"7,746",,"7,690",,"7,637",,"7,580",,"7,414",,"7,260",,"7,095",,"7,083",,"7,075",,"7,063",,"7,123",,"7,180",,"7,237",,"7,295",,"7,315",,"7,382",,"7,437",,"7,493",,"7,560",,"7,471",,"7,372",,"7,288",,"7,282",,"7,266",,"7,258",,"7,368",,"7,469",,"7,592",,"7,583",,"7,546",,"7,526",,"7,495",,"7,463",,"7,435",,"7,462",,"7,456",,"7,455",,"7,458",,"7,450",,"7,450",,"7,452",,"7,458",,"7,468",,"7,522",,"7,570",,"7,654",,"7,660",,"7,668",,"7,692",,"7,636",,"7,597",,"7,539",,"7,486",,"7,442",,"7,398",,"7,405",,"7,404",,"7,405",,"7,406",,"7,397",,"7,394",,"7,354",,"7,314",,"7,265",,"7,247",
Home equity lines of credit 14,"185,234",,"185,459",,"185,981",,"186,363",,"186,989",,"187,606",,"188,294",,"187,955",,"187,807",,"187,361",,"187,129",,"187,374",,"187,224",,"187,021",,"186,810",,"186,579",,"186,288",,"186,047",,"186,074",,"186,078",,"185,934",,"186,109",,"185,991",,"185,849",,"185,871",,"185,381",,"184,892",,"184,501",,"184,271",,"183,818",,"183,400",,"182,457",,"181,496",,"180,621",,"179,835",,"179,237",,"178,951",,"178,806",,"179,709",,"177,828",,"175,679",,"174,577",,"173,824",,"173,423",,"173,741",,"172,766",,"171,828",,"170,686",,"168,698",,"167,495",,"165,793",,"166,427",,"166,196",,"165,816",,"165,310",,"165,037",,"164,964",,"165,231",,"165,829",,"166,359",,"166,974",,"167,773",,"168,247",,"169,147",,"170,110",,"170,490",,"170,450",,"170,790",,"170,583",,"170,443",,"170,299",,"170,248",,"170,469",
