Credit liabilities of households,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan
Government 1 5,"27,225","27,254","27,285","27,227","27,166","27,108","27,656","28,203","28,733","28,666","28,602","28,535","28,611","28,680","28,756","28,695","28,633","28,572","29,198","29,824","30,430","30,387","30,344","30,301","30,356","30,405","30,460","30,344","30,223","30,107","30,694","31,281","31,849","31,902","31,953","32,006","31,926","31,850","31,770","33,904","34,373","34,625","35,133","35,666","36,183","36,223","36,256","36,626","36,759","36,836","36,914","36,973","37,033","37,109","37,732","38,306","38,853","38,692","38,531","38,384","38,260"
Non-bank financial corporations 1 5,"151,077","153,412","155,861","156,758","158,039","158,232","159,166","160,832","161,527","161,643","161,933","161,591","163,206","165,383","166,839","168,159","169,277","170,147","170,509","171,356","171,927","172,318","172,450","173,837","172,656","172,128","171,309","172,620","173,441","173,439","173,154","173,183","173,077","173,554","173,812","174,565","171,645","169,708","167,350","166,291","166,184","166,612","165,898","166,421","166,373","166,219","166,181","166,252","163,589","161,828","159,739","159,377","159,592","158,758","158,752","160,022","160,696","160,329","159,959","159,524","158,798"
Credit unions and caisse populaires 1 5,"67,912","68,064","68,091","68,600","69,484","69,317","69,555","70,475","70,457","70,964","71,665","71,815","71,882","72,701","72,601","73,672","74,538","75,162","75,263","75,839","76,149","76,336","76,170","77,340","76,694","76,634","76,334","77,381","77,933","77,687","77,801","78,287","78,569","78,720","78,659","79,095","78,192","78,248","78,059","76,704","76,310","76,452","75,751","76,260","76,249","75,905","75,707","75,605","74,858","74,824","74,659","74,820","75,593","75,287","74,620","75,224","75,254","75,123","74,981","74,780","74,543"
Trust companies and mortgage loan companies 1 5,685,740,801,834,858,861,799,797,803,812,821,816,872,896,967,974,980,989,990,"1,000","1,004",981,"1,060","1,051","1,079","1,119","1,164","1,201","1,236","1,255","1,261","1,211","1,215","1,225","1,238","1,239","1,090",965,819,825,826,836,786,763,690,688,662,643,625,611,585,562,521,493,485,481,478,478,479,481,489
Financial vehicle corporations engaged in securitization 1 6,"12,626","12,607","12,590","12,430","12,270","12,112","12,453","12,784","13,087","12,372","11,647","10,845","10,935","11,004","11,087","10,935","10,773","10,616","10,878","11,142","11,401","11,303","11,208","11,109","11,007","10,915","10,812","10,994","11,180","11,360","11,207","11,053","10,905","11,125","11,339","11,559","11,533","11,389","11,208","11,143","11,063","10,984","10,761","10,538","10,322","10,667","11,001","11,346","11,026","10,737","10,417","10,268","10,115","9,966","10,596","11,227","11,837","11,978","12,114","12,255","12,501"
Other financial corporations n.e.i. 1 7,"69,854","72,001","74,379","74,894","75,427","75,942","76,359","76,776","77,180","77,495","77,800","78,115","79,517","80,782","82,184","82,578","82,986","83,380","83,378","83,375","83,373","83,698","84,012","84,337","83,876","83,460","82,999","83,044","83,092","83,137","82,885","82,632","82,388","82,484","82,576","82,672","80,830","79,106","77,264","77,619","77,985","78,340","78,600","78,860","79,112","78,959","78,811","78,658","77,080","75,656","74,078","73,727","73,363","73,012","73,051","73,090","73,127","72,750","72,385","72,008","71,265"
Other lenders n.e.i. 1 8,"10,980","11,258","11,566","11,638","11,712","11,784","11,626","11,469","11,316","11,440","11,561","11,685","11,666","11,649","11,630","11,664","11,700","11,734","11,734","11,734","11,734","11,757","11,780","11,803","11,896","11,980","12,073","12,135","12,199","12,261","12,289","12,317","12,344","12,345","12,347","12,348","11,843","11,372","10,867","10,658","10,443","10,234","10,259","10,283","10,307","10,158","10,014","9,865","9,855","9,845","9,835","9,825","9,816","9,806","9,750","9,695","9,641","9,615","9,589","9,563","9,636"
Mortgage loans,"1,431,367","1,436,567","1,441,701","1,449,517","1,457,671","1,468,873","1,478,651","1,485,886","1,492,111","1,498,281","1,503,451","1,509,430","1,511,679","1,515,542","1,518,924","1,522,405","1,526,742","1,534,897","1,542,353","1,548,439","1,553,740","1,558,068","1,561,853","1,569,187","1,570,333","1,572,525","1,578,115","1,582,599","1,592,217","1,601,116","1,610,438","1,620,238","1,628,079","1,635,821","1,641,311","1,648,555","1,655,129","1,662,008","1,671,118","1,680,858","1,688,508","1,698,502","1,708,497","1,720,265","1,733,738","1,747,587","1,760,163","1,769,776","1,779,245","1,785,939","1,800,800","1,820,015","1,838,221","1,863,844","1,881,665","1,898,263","1,910,888","1,924,697","1,942,765","1,955,677","1,966,983"
Residential mortgages 9,"1,420,529","1,425,594","1,430,598","1,438,439","1,446,599","1,457,825","1,467,581","1,474,802","1,481,013","1,487,232","1,492,447","1,498,471","1,500,974","1,505,073","1,508,708","1,512,190","1,516,540","1,524,714","1,532,079","1,538,100","1,543,323","1,547,611","1,551,256","1,558,540","1,559,636","1,561,705","1,567,239","1,571,875","1,581,719","1,590,680","1,600,014","1,609,816","1,617,665","1,625,245","1,630,564","1,637,614","1,644,204","1,651,244","1,660,378","1,670,197","1,677,870","1,687,892","1,697,757","1,709,586","1,723,079","1,736,922","1,749,521","1,759,123","1,768,585","1,775,255","1,790,099","1,809,247","1,827,404","1,852,889","1,870,745","1,887,335","1,899,898","1,913,800","1,931,900","1,944,915","1,956,268"
Chartered banks 9 10,"1,059,796","1,063,641","1,067,719","1,073,886","1,080,356","1,090,114","1,099,248","1,106,063","1,111,839","1,116,858","1,121,143","1,126,454","1,127,284","1,129,794","1,131,864","1,134,848","1,138,231","1,145,278","1,150,316","1,154,508","1,158,294","1,161,320","1,164,788","1,171,616","1,171,995","1,172,449","1,176,490","1,180,477","1,188,725","1,196,765","1,205,283","1,214,457","1,221,561","1,228,262","1,233,100","1,239,942","1,244,578","1,249,558","1,256,359","1,265,602","1,272,185","1,280,567","1,289,825","1,301,799","1,314,290","1,328,568","1,341,397","1,351,734","1,360,243","1,366,186","1,379,348","1,395,716","1,411,343","1,432,710","1,448,691","1,463,721","1,475,259","1,485,968","1,500,341","1,510,520","1,520,046"
Non-banks 9 10,"360,733","361,953","362,879","364,553","366,243","367,711","368,333","368,739","369,174","370,374","371,304","372,017","373,690","375,279","376,844","377,342","378,309","379,436","381,763","383,592","385,029","386,291","386,468","386,924","387,641","389,256","390,749","391,398","392,994","393,915","394,731","395,359","396,104","396,983","397,464","397,672","399,626","401,686","404,019","404,595","405,685","407,325","407,932","407,787","408,789","408,354","408,124","407,389","408,342","409,069","410,751","413,531","416,061","420,179","422,054","423,614","424,639","427,832","431,559","434,395","436,222"
Government 9 10,365,365,366,373,380,387,393,399,404,409,415,421,424,430,436,437,436,434,435,437,438,440,442,443,444,446,447,448,449,450,450,451,451,452,453,454,452,454,456,453,448,444,440,437,434,431,427,422,419,415,413,412,411,411,411,410,408,407,406,405,400
Non-bank financial corporations 9 10 11,"355,525","356,743","357,665","359,288","360,926","362,343","362,944","363,329","363,745","364,906","365,797","366,470","368,037","369,528","370,984","371,524","372,536","373,708","375,946","377,684","379,035","380,233","380,347","380,740","381,432","383,023","384,491","385,273","387,005","388,059","388,883","389,518","390,271","391,141","391,613","391,812","393,511","395,329","397,403","397,934","398,978","400,574","401,157","400,987","401,965","401,569","401,378","400,684","401,555","402,208","403,807","406,475","408,888","412,893","414,754","416,301","417,315","420,322","423,870","426,520","428,340"
Credit unions and caisse populaires 9 10,"184,074","184,184","184,348","185,126","186,576","188,217","189,319","190,381","191,248","192,551","193,765","194,658","195,429","196,495","197,266","198,438","200,290","202,377","203,834","204,960","205,994","207,107","207,557","208,144","208,952","209,914","210,773","211,448","212,769","213,965","215,116","215,985","216,986","218,198","219,237","220,069","220,343","220,914","221,655","222,296","223,601","225,447","226,546","227,338","228,279","228,862","229,749","230,213","230,916","231,712","233,218","235,882","238,587","242,477","244,437","246,139","247,721","249,088","250,816","251,672","252,600"
Trust companies and mortgage loan companies 9 10,"20,907","21,356","21,207","21,537","21,198","20,814","20,444","19,940","19,570","19,492","19,367","19,315","19,497","19,411","19,417","19,253","18,745","18,500","18,941","19,091","18,970","19,359","19,271","19,377","18,988","19,366","19,782","19,833","20,269","20,192","20,168","20,320","20,243","20,445","20,554","20,612","20,851","20,917","20,856","21,000","21,089","21,070","21,642","21,819","21,901","22,055","22,094","22,114","22,301","22,166","22,226","22,496","22,485","22,842","23,347","23,814","23,895","24,287","24,875","25,433","25,965"
Financial vehicle corporations engaged in securitization 6 9 10,"21,899","21,716","21,692","21,805","21,917","21,675","21,359","21,000","20,740","20,623","20,374","20,153","20,024","19,864","19,800","19,201","18,733","17,932","17,802","17,795","17,778","17,674","17,621","17,521","17,121","16,765","16,285","16,324","16,281","16,199","16,204","16,126","16,253","16,017","15,638","15,255","15,384","15,576","15,913","15,591","15,172","14,873","14,710","14,497","15,347","15,170","14,978","14,756","15,074","15,370","15,740","15,320","14,879","14,483","14,178","13,855","13,496","13,402","13,335","13,229","13,189"
Of which: off balance-sheet NHA-MBS 9 10 12,"9,191","8,935","8,743","8,719","8,692","8,517","8,422","8,310","8,238","8,179","8,066","7,964","8,907","9,828","10,798","10,603","10,487","10,178","10,102","10,100","10,092","10,121","10,180","10,211","9,854","9,523","9,119","8,989","8,811","8,613","8,669","8,678","8,801","8,461","8,046","7,635","7,904","8,201","8,575","8,252","7,879","7,574","6,916","6,972","7,055","6,908","6,747","6,572","7,114","7,646","8,227","7,535","6,820","6,114","5,983","5,843","5,682","5,508","5,346","5,164","5,151"
Other financial corporations n.e.i. 7 9 10,"128,645","129,487","130,418","130,820","131,235","131,637","131,822","132,008","132,187","132,240","132,291","132,344","133,087","133,758","134,501","134,632","134,768","134,899","135,369","135,838","136,293","136,093","135,898","135,698","136,371","136,978","137,651","137,668","137,686","137,703","137,395","137,087","136,789","136,481","136,184","135,876","136,933","137,922","138,979","139,047","139,116","139,184","138,259","137,333","136,438","135,482","134,557","133,601","133,264","132,960","132,623","132,777","132,937","133,091","132,792","132,493","132,203","133,545","134,844","136,186","136,586"
Other lenders n.e.i. 8 9 10,"4,843","4,845","4,848","4,892","4,937","4,981","4,996","5,011","5,025","5,059","5,092","5,126","5,229","5,321","5,424","5,381","5,337","5,294","5,382","5,471","5,556","5,618","5,679","5,741","5,765","5,787","5,811","5,677","5,540","5,406","5,398","5,390","5,382","5,390","5,398","5,406","5,663","5,903","6,160","6,208","6,259","6,307","6,335","6,363","6,390","6,354","6,319","6,283","6,368","6,446","6,531","6,644","6,762","6,875","6,889","6,903","6,916","7,103","7,283","7,470","7,482"
Non-residential mortgages 9,"10,838","10,973","11,103","11,078","11,072","11,048","11,070","11,084","11,098","11,049","11,004","10,959","10,705","10,469","10,216","10,215","10,202","10,183","10,274","10,339","10,417","10,457","10,597","10,647","10,697","10,820","10,876","10,724","10,498","10,436","10,424","10,422","10,414","10,576","10,747","10,941","10,925","10,764","10,740","10,661","10,638","10,610","10,740","10,679","10,659","10,665","10,642","10,653","10,660","10,684","10,701","10,768","10,817","10,955","10,920","10,928","10,990","10,897","10,865","10,762","10,715"
Chartered banks 9 13,"3,247","3,319","3,381","3,361","3,348","3,331","3,345","3,346","3,352","3,359","3,367","3,379","3,291","3,209","3,121","3,132","3,127","3,120","3,151","3,159","3,180","3,162","3,282","3,265","3,260","3,327","3,316","3,253","3,126","3,148","3,142","3,156","3,156","3,208","3,278","3,349","3,342","3,218","3,214","3,166","3,175","3,175","3,278","3,223","3,204","3,207","3,192","3,203","3,208","3,226","3,233","3,246","3,247","3,301","3,260","3,260","3,298","3,261","3,268","3,223","3,229"
Non-banks 9 13,"7,591","7,654","7,722","7,717","7,724","7,717","7,725","7,738","7,746","7,690","7,637","7,580","7,414","7,260","7,095","7,083","7,075","7,063","7,123","7,180","7,237","7,295","7,315","7,382","7,437","7,493","7,560","7,471","7,372","7,288","7,282","7,266","7,258","7,368","7,469","7,592","7,583","7,546","7,526","7,495","7,463","7,435","7,462","7,456","7,455","7,458","7,450","7,450","7,452","7,458","7,468","7,522","7,570","7,654","7,660","7,668","7,692","7,636","7,597","7,539","7,486"
Government 9 13,385,384,385,392,400,408,411,413,415,416,419,421,423,426,428,432,436,440,444,448,451,456,461,467,471,474,478,469,458,448,451,454,457,460,463,466,493,475,474,471,477,482,498,491,489,492,493,497,499,502,504,506,506,514,511,514,523,525,534,534,539
Non-bank financial corporations 9 13,"6,331","6,391","6,454","6,441","6,438","6,422","6,425","6,434","6,438","6,381","6,324","6,265","6,098","5,943","5,777","5,763","5,752","5,738","5,791","5,841","5,892","5,943","5,956","6,015","6,065","6,116","6,178","6,103","6,021","5,952","5,944","5,925","5,915","6,020","6,116","6,234","6,191","6,164","6,138","6,106","6,064","6,027","6,033","6,030","6,026","6,023","6,012","6,005","6,004","6,005","6,012","6,061","6,107","6,180","6,189","6,195","6,210","6,150","6,100","6,040","5,983"
Credit unions and caisse populaires 9 13,"1,997","2,035","2,072","2,069","2,075","2,068","2,083","2,097","2,106","2,097","2,082","2,067","2,016","1,966","1,919","1,916","1,918","1,916","1,937","1,952","1,969","1,987","1,970","1,998","2,009","2,024","2,045","2,020","1,988","1,967","1,968","1,961","1,962","2,000","2,032","2,082","2,052","2,035","2,022","2,012","1,996","1,981","1,986","1,982","1,979","1,984","1,982","1,982","1,984","1,988","1,998","2,009","2,014","2,047","2,048","2,047","2,055","2,031","2,016","1,994","1,987"
Trust companies and mortgage loan companies 9 13,25,22,19,19,19,18,14,12,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,12,12,13,13,14,14,14,14,14,14,14,15,15,15,15,15,13,13,13,13,13,12,11,11,11,11,11,9,9,9,9,8,8,8,8,7,7
Financial vehicle corporations engaged in securitization 6 9 13,157,145,133,120,108,97,91,89,87,89,95,101,100,97,93,93,92,91,94,100,106,108,107,107,108,110,111,113,117,121,122,120,118,119,119,120,117,115,112,110,108,106,106,105,103,99,95,91,91,91,91,91,90,90,89,88,87,86,85,83,82
Other financial corporations n.e.i. 7 9 13,"4,152","4,189","4,230","4,233","4,236","4,239","4,237","4,236","4,234","4,184","4,136","4,086","3,971","3,868","3,753","3,742","3,730","3,719","3,748","3,776","3,804","3,835","3,866","3,897","3,936","3,970","4,009","3,957","3,902","3,850","3,840","3,830","3,821","3,887","3,951","4,017","4,007","3,999","3,989","3,969","3,947","3,927","3,928","3,930","3,931","3,928","3,924","3,921","3,918","3,915","3,912","3,952","3,994","4,034","4,043","4,052","4,060","4,025","3,991","3,956","3,907"
Other lenders n.e.i. 8 9 13,875,879,883,884,886,887,889,891,893,893,894,894,893,891,890,888,887,885,888,891,894,896,898,900,901,903,904,899,893,888,887,887,886,888,890,892,899,907,914,918,922,926,931,935,940,943,945,948,949,951,952,955,957,960,960,959,959,961,963,965,964
Total credit liabilities of households,"2,097,016","2,103,316","2,113,128","2,123,080","2,136,113","2,150,667","2,163,548","2,172,286","2,179,981","2,186,223","2,192,267","2,199,637","2,199,775","2,204,279","2,209,927","2,215,179","2,225,773","2,237,843","2,247,716","2,256,054","2,264,435","2,269,378","2,274,786","2,283,112","2,278,857","2,280,318","2,286,651","2,293,914","2,308,330","2,320,296","2,331,017","2,342,512","2,351,882","2,359,223","2,364,441","2,373,653","2,374,007","2,380,886","2,380,959","2,379,479","2,383,543","2,396,242","2,406,646","2,422,799","2,438,240","2,450,993","2,464,830","2,469,512","2,470,242","2,474,703","2,487,424","2,508,274","2,528,884","2,557,068","2,574,549","2,594,828","2,611,232","2,624,675","2,649,361","2,659,188","2,664,889"
Of which: real estate secured lending 14,"1,615,784","1,620,854","1,627,150","1,635,209","1,644,501","1,656,850","1,667,646","1,674,569","1,680,624","1,686,346","1,690,961","1,696,728","1,698,001","1,701,408","1,705,192","1,708,304","1,712,774","1,721,181","1,729,027","1,735,234","1,740,488","1,745,028","1,748,377","1,755,034","1,755,183","1,756,768","1,762,431","1,766,432","1,776,210","1,785,092","1,794,267","1,803,330","1,810,475","1,817,399","1,821,863","1,827,903","1,832,879","1,839,659","1,850,176","1,858,058","1,863,982","1,873,279","1,882,569","1,894,255","1,908,422","1,921,372","1,932,878","1,940,680","1,946,559","1,952,133","1,965,781","1,985,804","2,004,408","2,030,082","2,047,205","2,063,893","2,076,743","2,090,861","2,109,476","2,122,263","2,132,447"
Residential mortgages 14,"1,420,529","1,425,594","1,430,598","1,438,439","1,446,599","1,457,825","1,467,581","1,474,802","1,481,013","1,487,232","1,492,447","1,498,471","1,500,974","1,505,073","1,508,708","1,512,190","1,516,540","1,524,714","1,532,079","1,538,100","1,543,323","1,547,611","1,551,256","1,558,540","1,559,636","1,561,705","1,567,239","1,571,875","1,581,719","1,590,680","1,600,014","1,609,816","1,617,665","1,625,245","1,630,564","1,637,614","1,644,204","1,651,244","1,660,378","1,670,197","1,677,870","1,687,892","1,697,757","1,709,586","1,723,079","1,736,922","1,749,521","1,759,123","1,768,585","1,775,255","1,790,099","1,809,247","1,827,404","1,852,889","1,870,745","1,887,335","1,899,898","1,913,800","1,931,900","1,944,915","1,956,268"
Chartered banks 10 14,"1,059,796","1,063,641","1,067,719","1,073,886","1,080,356","1,090,114","1,099,248","1,106,063","1,111,839","1,116,858","1,121,143","1,126,454","1,127,284","1,129,794","1,131,864","1,134,848","1,138,231","1,145,278","1,150,316","1,154,508","1,158,294","1,161,320","1,164,788","1,171,616","1,171,995","1,172,449","1,176,490","1,180,477","1,188,725","1,196,765","1,205,283","1,214,457","1,221,561","1,228,262","1,233,100","1,239,942","1,244,578","1,249,558","1,256,359","1,265,602","1,272,185","1,280,567","1,289,825","1,301,799","1,314,290","1,328,568","1,341,397","1,351,734","1,360,243","1,366,186","1,379,348","1,395,716","1,411,343","1,432,710","1,448,691","1,463,721","1,475,259","1,485,968","1,500,341","1,510,520","1,520,046"
Non-banks 10 14,"360,733","361,953","362,879","364,553","366,243","367,711","368,333","368,739","369,174","370,374","371,304","372,017","373,690","375,279","376,844","377,342","378,309","379,436","381,763","383,592","385,029","386,291","386,468","386,924","387,641","389,256","390,749","391,398","392,994","393,915","394,731","395,359","396,104","396,983","397,464","397,672","399,626","401,686","404,019","404,595","405,685","407,325","407,932","407,787","408,789","408,354","408,124","407,389","408,342","409,069","410,751","413,531","416,061","420,179","422,054","423,614","424,639","427,832","431,559","434,395","436,222"
Non-residential mortgages 14,"10,838","10,973","11,103","11,078","11,072","11,048","11,070","11,084","11,098","11,049","11,004","10,959","10,705","10,469","10,216","10,215","10,202","10,183","10,274","10,339","10,417","10,457","10,597","10,647","10,697","10,820","10,876","10,724","10,498","10,436","10,424","10,422","10,414","10,576","10,747","10,941","10,925","10,764","10,740","10,661","10,638","10,610","10,740","10,679","10,659","10,665","10,642","10,653","10,660","10,684","10,701","10,768","10,817","10,955","10,920","10,928","10,990","10,897","10,865","10,762","10,715"
Chartered banks 13 14,"3,247","3,319","3,381","3,361","3,348","3,331","3,345","3,346","3,352","3,359","3,367","3,379","3,291","3,209","3,121","3,132","3,127","3,120","3,151","3,159","3,180","3,162","3,282","3,265","3,260","3,327","3,316","3,253","3,126","3,148","3,142","3,156","3,156","3,208","3,278","3,349","3,342","3,218","3,214","3,166","3,175","3,175","3,278","3,223","3,204","3,207","3,192","3,203","3,208","3,226","3,233","3,246","3,247","3,301","3,260","3,260","3,298","3,261","3,268","3,223","3,229"
Non-banks 13 14,"7,591","7,654","7,722","7,717","7,724","7,717","7,725","7,738","7,746","7,690","7,637","7,580","7,414","7,260","7,095","7,083","7,075","7,063","7,123","7,180","7,237","7,295","7,315","7,382","7,437","7,493","7,560","7,471","7,372","7,288","7,282","7,266","7,258","7,368","7,469","7,592","7,583","7,546","7,526","7,495","7,463","7,435","7,462","7,456","7,455","7,458","7,450","7,450","7,452","7,458","7,468","7,522","7,570","7,654","7,660","7,668","7,692","7,636","7,597","7,539","7,486"
Home equity lines of credit 14,"184,417","184,287","185,449","185,692","186,830","187,977","188,995","188,683","188,513","188,065","187,510","187,298","186,322","185,866","186,268","185,899","186,032","186,284","186,674","186,795","186,748","186,960","186,524","185,847","184,850","184,243","184,316","183,833","183,993","183,976","183,829","183,092","182,396","181,578","180,552","179,348","177,750","177,651","179,058","177,200","175,474","174,777","174,072","173,990","174,684","173,785","172,715","170,904","167,314","166,194","164,981","165,789","166,187","166,238","165,540","165,630","165,855","166,164","166,711","166,586","165,464"
Chartered banks 14,"174,788","174,605","175,739","175,991","177,089","178,279","179,324","178,986","178,816","178,359","177,815","177,599","176,650","176,174","176,581","176,236","176,383","176,674","177,100","177,216","177,145","177,393","177,014","176,382","175,496","174,838","174,883","174,426","174,646","174,702","174,619","173,894","173,210","172,467","171,542","170,421","168,922","168,837","170,240","168,622","167,028","166,403","165,770","165,690","166,367","165,538","164,557","162,876","159,390","158,269","157,094","157,928","158,280","158,414","157,773","157,799","157,965","158,220","158,767","158,667","157,571"
Non-banks 14 15,"9,629","9,682","9,710","9,701","9,741","9,698","9,671","9,697","9,697","9,706","9,695","9,699","9,672","9,692","9,687","9,663","9,649","9,610","9,574","9,579","9,603","9,567","9,510","9,465","9,354","9,405","9,433","9,407","9,347","9,274","9,210","9,198","9,186","9,111","9,010","8,927","8,828","8,814","8,818","8,578","8,446","8,374","8,302","8,300","8,317","8,247","8,158","8,028","7,924","7,925","7,887","7,861","7,907","7,824","7,767","7,831","7,890","7,944","7,944","7,919","7,893"
